Time(s)	Gap(mm)	Speed(rpm)	Temp(C)	Position(mm)
0	20.0000000000	0.0000000000	1200.0000000000	0.0000000000	0.0000000000	0.0000000000
1	30.0000000000	0.0000000000	1197.9449653843	0.0000000000	0.0000000000	0.0000000000
2	40.0000000000	0.0000000000	1195.8899307686	0.0000000000	0.0000000000	0.0000000000
3	50.0000000000	0.0000000000	1193.8348961528	0.0000000000	0.0000000000	0.0000000000
4	60.0000000000	0.0000000000	1191.7798615371	0.0000000000	0.0000000000	0.0000000000
5	70.0000000000	0.0000000000	1189.7248269214	0.0000000000	0.0000000000	0.0000000000
6	80.0000000000	0.0000000000	1187.6697923057	0.0000000000	0.0000000000	0.0000000000
7	90.0000000000	0.0000000000	1185.6147576899	0.0000000000	0.0000000000	0.0000000000
8	100.0000000000	0.0000000000	1183.5597230742	0.0000000000	0.0000000000	0.0000000000
9	100.0000000000	0.6700000000	1181.5046884585	0.7000000000	0.7000000000	0.0000000000
10	100.0000000000	0.6700000000	1179.4496538428	0.7000000000	0.7000000000	700.0000000000
11	100.0000000000	0.6700000000	1177.3946192271	0.7000000000	0.7000000000	1400.0000000000
12	100.0000000000	0.6700000000	1175.3395846113	0.7000000000	0.7000000000	2100.0000000000
13	100.0000000000	0.6700000000	1173.2845499956	0.7000000000	0.7000000000	2800.0000000000
14	100.0000000000	0.6700000000	1171.2295153799	0.7000000000	0.7000000000	3500.0000000000
15	100.0000000000	0.6700000000	1169.1744807642	0.7000000000	0.7000000000	4200.0000000000
16	100.0000000000	0.6700000000	1167.1194461485	0.7000000000	0.7000000000	4900.0000000000
17	100.0000000000	0.6700000000	1165.0644115327	0.7000000000	0.7000000000	5600.0000000000
18	100.0000000000	0.6700000000	1163.0093769170	0.7000000000	0.7000000000	6300.0000000000
19	100.0000000000	0.6700000000	1160.9543423013	0.7000000000	0.7000000000	7000.0000000000
20	100.0000000000	0.6700000000	1158.8993076856	0.7000000000	0.7000000000	7700.0000000000
21	100.0000000000	0.6700000000	1156.8442730698	0.7000000000	0.7000000000	8400.0000000000
22	100.0000000000	0.6700000000	1154.7892384541	0.7000000000	0.7000000000	9100.0000000000
23	100.0000000000	0.6700000000	1152.7342038384	0.7000000000	0.7000000000	9800.0000000000
24	100.0000000000	0.6700000000	1150.6791692227	0.7000000000	0.7000000000	10000.0000000000
